UID          PID    PPID  C STIME TTY          TIME CMD
root       18806       2  0 18:08 ?        00:00:00 [kworker/u64:3-events_unbound]
root       19396       2  0 18:09 ?        00:00:00 [kworker/1:1-mpt_poll_0]
root       19397       2  0 18:09 ?        00:00:01 [kworker/0:1-events]
root       28771       2  0 18:28 ?        00:00:00 [kworker/u64:2-events_unbound]
root       28796       2  0 18:28 ?        00:00:00 [psimon]
kali       28961       1  0 18:28 ?        00:00:03 /usr/bin/qterminal
kali       28964   28961  0 18:28 pts/0    00:00:03 /usr/bin/zsh
root       31852       2  0 18:34 ?        00:00:00 [kworker/3:1-events]
root       31948       2  0 18:34 ?        00:00:00 [kworker/u64:0-ext4-rsv-conversion]
root       35133       2  0 18:39 ?        00:00:01 [kworker/3:3-events]
root       35134       2  0 18:39 ?        00:00:00 [kworker/2:2-events]
root       39602       2  0 18:48 ?        00:00:00 [kworker/2:0-events]
root       40185       2  0 18:50 ?        00:00:01 [kworker/3:0-events]
root       40826       2  0 18:51 ?        00:00:00 [kworker/0:2-ata_sff]
kali       42194    1226  0 18:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       43604       2  0 18:56 ?        00:00:00 [kworker/0:0-ata_sff]
kali       45318   28964  0 18:59 pts/0    00:00:00 ps -ef
